dataset_name,player_id,match_id,team_id,player_name,player_name_raw,role_name,specific_position,position_status,team_name,n_touches,minute_min,minute_max,match_date
5liga,93,2499931,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,50,1.0,90.0,
5liga,93,2499941,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,52,2.0,80.0,
5liga,93,2499951,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,62,0.0,95.0,
5liga,93,2499964,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,44,0.0,81.0,
5liga,93,2499972,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,56,0.0,92.0,
5liga,93,2499986,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,36,3.0,83.0,
5liga,93,2499992,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,71,0.0,92.0,
5liga,93,2500000,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,66,0.0,87.0,
5liga,93,2500018,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,52,5.0,89.0,
5liga,93,2500020,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,51,0.0,90.0,
5liga,93,2500049,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,39,0.0,89.0,
5liga,93,2500066,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,63,0.0,93.0,
5liga,93,2500069,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,61,0.0,94.0,
5liga,93,2500080,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,56,0.0,84.0,
5liga,93,2500089,1646,J. Guðmundsson,J. Guðmundsson,Midfielder,RW,MID_NEEDS_DETAIL,Burnley,47,2.0,76.0,
5liga,102,2500688,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,86,1.0,92.0,
5liga,102,2500703,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,62,0.0,79.0,
5liga,102,2500707,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,45,0.0,90.0,
5liga,102,2500723,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,89,0.0,91.0,
5liga,102,2500728,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,38,2.0,92.0,
5liga,102,2500742,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,48,0.0,90.0,
5liga,102,2500749,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,71,0.0,92.0,
5liga,102,2500757,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,28,1.0,48.0,
5liga,102,2500785,3766,Marcelo,Marcelo,Defender,CB,DEF_NEEDS_DETAIL,Olympique Lyonnais,77,0.0,85.0,
